output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen fuel cell]@100nmi_350kt_fan,liquid_hydrogen,-5.236624909340673,5.236624909340673,6.647260574178969,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,e_saf,0.0,0.0,0.0,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_motor,-41.39654463498101,41.39654463498101,47.46853813579951,17
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_p_propeller,0.0,0.0,0.0,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,eta_p_fan,-13.805928046655149,13.805928046655149,13.007703055648038,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_fan_b,-26.15445011315792,36.201734372397766,80.81837796467002,17
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_fan_r_pivot,32.19026010426327,32.19026010426327,43.472676307760736,18
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_prop_b,0.0,0.0,0.0,19
E[Hydrogen fuel cell]@100nmi_350kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@100nmi_350kt_fan,calibration_block,3.5294041964173344,3.5294041964173344,5.764243623473527,20
E[Hydrogen fuel cell]@100nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,-293.0634823570824,293.0634823570824,212.91260670807586,15
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_fuel_cell,-125.77866541684823,125.77866541684823,111.54605281247946,17
E[Hydrogen fuel cell]@100nmi_450kt_fan,gamma_tank,-12.604286697591359,12.604286697591359,12.642235895863102,17
E[Hydrogen fuel cell]@100nmi_450kt_fan,electricity,0.0,0.0,0.0,16
E[Hydrogen fuel cell]@100nmi_450kt_fan,liquid_hydrogen,-15.056308191634006,15.056308191634006,20.201128139445903,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,e_saf,0.0,0.0,0.0,19
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_motor,-121.26204491277007,121.26204491277007,113.95465524721703,17
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,eta_p_fan,-33.95114871998486,33.95114871998486,31.847742157352798,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_fan_b,-210.58380968395508,210.58380968395508,304.50287946346305,12
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_fan_r_pivot,77.63733774532953,77.63733774532953,80.17352147650737,17
