output,fattore,mu,mu_star,sigma,n_ee,scala,mu_star_n,sigma_n,distanza,soglia,selezionato
E[Hydrogen combustion]@1500nmi_250kt_propeller,gamma_tank,-0.34945602489177147,0.34945602489177147,0.08925983202286347,20,0.501229628193622,0.6971974624707913,0.17808171544955623,0.7195814054387225,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_prop_b,-0.11315261821693409,0.11315261821693409,0.0882805157186638,20,0.501229628193622,0.2257500591589608,0.17612788780427313,0.2863286958596168,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_prop_r_pivot,0.08027135588989984,0.08027135588989984,0.08969376156029304,20,0.501229628193622,0.16014886466147107,0.17894744547232724,0.24014547069105782,0.11701637481915195,True
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_fuel_cell,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,electricity,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_saf,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_motor,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,20,0.501229628193622,0.0,0.0,0.0,0.11701637481915195,False
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_b,0.4304490415239444,0.4304490415239444,0.08205603857999567,20,0.4304490415239444,1.0,0.19062892622431632,1.0180075576897432,0.10180075576897432,True
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_r_pivot,0.38386292116283777,0.38386292116283777,0.1791762042682757,20,0.4304490415239444,0.8917732045675487,0.416254160153145,0.9841376805251769,0.10180075576897432,True
E[Hydrogen combustion]@1500nmi_450kt_fan,liquid_hydrogen,-0.23983624596283373,0.23983624596283373,0.07877593523947048,20,0.4304490415239444,0.557176861432255,0.18300873655235783,0.5864624903350499,0.10180075576897432,True
E[Hydrogen combustion]@1500nmi_450kt_fan,gamma_tank,-0.17445906738973388,0.17445906738973388,0.04807055882087015,20,0.4304490415239444,0.40529551830824395,0.11167537660365809,0.4203996276167677,0.10180075576897432,True
E[Hydrogen combustion]@1500nmi_450kt_fan,calibration_block,0.047538334479951136,0.07524657870534784,0.09082699634627686,20,0.4304490415239444,0.17480949298655166,0.21100522381166567,0.27401015184482924,0.10180075576897432,True
E[Hydrogen combustion]@1500nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,electricity,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,e_saf,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
